iddados_equipe,dados,equipe
81,30259,13
82,30261,12
83,30274,18
84,30440,18
85,30445,11
86,30526,11
87,30589,13
88,30590,13
89,30636,12
90,30683,12
91,30805,15
92,30807,15
93,30974,13
94,31009,13
95,31221,10
96,31230,15
97,31231,17
98,31269,17
99,31291,19
100,31292,21
101,31859,13
102,31965,13
103,31966,12
104,31969,12
105,32062,13
106,32265,10
107,32368,13
108,32375,13
109,32379,14
110,32390,18
111,32457,13
112,32555,10
113,32558,10
114,32612,11
115,32654,12
116,32699,20
117,32728,14
118,32730,10
119,32786,13
120,32821,10
121,32909,13
122,33004,13
123,33010,11
124,33063,13
125,33064,13
126,33208,13
127,33241,16
128,33242,14
129,33443,17
130,33549,12
131,33607,13
132,33608,13
133,33744,13
134,33810,13
135,33902,18
136,33907,17
137,33917,16
138,33936,16
139,33981,12
140,33996,15
141,34143,13
142,34146,13
143,34186,10
144,34188,13
145,34427,10
146,34461,14
147,34587,13
148,34677,13
149,34681,13
150,34684,13
151,34735,11
152,34746,22
153,34750,22
154,34760,10
155,34766,10
156,34777,10
157,34825,10
158,35010,18
159,35118,13
